DateTime, MainStage, SubStage, MetaData, CPU (%), Used Memory (MB), Max Heap (MB)
Wed Sep 10 09:34:32 IST 2025, Default overlays, io.joern.x2cpg.passes.base.TypeEvalPass, Started, 35.50, 239.64, 4294.97
Wed Sep 10 09:34:32 IST 2025, Default overlays, io.joern.x2cpg.passes.base.TypeEvalPass, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:32 IST 2025, Default overlays, io.shiftleft.semanticcpg.Overlays$$anon$1, Started, 37.91, 183.41, 4294.97
Wed Sep 10 09:34:32 IST 2025, Default overlays, io.shiftleft.semanticcpg.Overlays$$anon$1, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:32 IST 2025, Default overlays, io.joern.x2cpg.passes.controlflow.CfgCreationPass, Started, 22.80, 184.56, 4294.97
Wed Sep 10 09:34:33 IST 2025, Default overlays, io.joern.x2cpg.passes.controlflow.CfgCreationPass, ForkJoinParallelCpgPass, 34.61, 277.71, 4294.97
Wed Sep 10 09:34:33 IST 2025, Default overlays, io.joern.x2cpg.passes.controlflow.CfgCreationPass, Done, 34.61, 277.71, 4294.97
Wed Sep 10 09:34:33 IST 2025, Default overlays, io.joern.x2cpg.passes.controlflow.cfgdominator.CfgDominatorPass, Started, 26.99, 335.96, 4294.97
Wed Sep 10 09:34:33 IST 2025, Default overlays, io.joern.x2cpg.passes.controlflow.cfgdominator.CfgDominatorPass, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:33 IST 2025, Default overlays, io.joern.x2cpg.passes.controlflow.codepencegraph.CdgPass, Started, 39.31, 377.18, 4294.97
Wed Sep 10 09:34:33 IST 2025, Default overlays, io.joern.x2cpg.passes.controlflow.codepencegraph.CdgPass, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:33 IST 2025, Default overlays, io.shiftleft.semanticcpg.Overlays$$anon$1, Started, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:33 IST 2025, Default overlays, io.shiftleft.semanticcpg.Overlays$$anon$1, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:33 IST 2025, Default overlays, io.joern.x2cpg.passes.typerelations.TypeHierarchyPass, Started, 37.31, 426.46, 4294.97
Wed Sep 10 09:34:34 IST 2025, Default overlays, io.joern.x2cpg.passes.typerelations.TypeHierarchyPass, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:34 IST 2025, Default overlays, io.joern.x2cpg.passes.typerelations.AliasLinkerPass, Started, 20.08, 430.66, 4294.97
Wed Sep 10 09:34:34 IST 2025, Default overlays, io.joern.x2cpg.passes.typerelations.AliasLinkerPass, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:34 IST 2025, Default overlays, io.joern.x2cpg.passes.typerelations.FieldAccessLinkerPass, Started, 23.96, 431.71, 4294.97
Wed Sep 10 09:34:34 IST 2025, Default overlays, io.joern.x2cpg.passes.typerelations.FieldAccessLinkerPass, CpgPass, 16.65, 439.05, 4294.97
Wed Sep 10 09:34:34 IST 2025, Default overlays, io.joern.x2cpg.passes.typerelations.FieldAccessLinkerPass, Done, 16.65, 439.05, 4294.97
Wed Sep 10 09:34:34 IST 2025, Default overlays, io.shiftleft.semanticcpg.Overlays$$anon$1, Started, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:34 IST 2025, Default overlays, io.shiftleft.semanticcpg.Overlays$$anon$1, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:34 IST 2025, Default overlays, io.joern.x2cpg.passes.callgraph.MethodRefLinker, Started, 20.47, 463.17, 4294.97
Wed Sep 10 09:34:34 IST 2025, Default overlays, io.joern.x2cpg.passes.callgraph.MethodRefLinker, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:34 IST 2025, Default overlays, io.joern.x2cpg.passes.callgraph.StaticCallLinker, Started, 20.48, 464.21, 4294.97
